ABSL banking and finance,,ABSL frontline equity,,ABSL new millenum,,ABSL top 100 fund,,HDFC Large cap,,hdfc top 200,,ICICI banking,,ICICI FMCG ,,ICICI Bluechip,,ICICI Tech,,Relaince Pharma fund-Direct,,SBI Banking & Financial Services Fund - Direct Plan (G),,SBI Blue Chip Fund - Direct Plan (G),,SBI FMCG Fund - Direct Plan (G),,SBI IT Fund - Direct Plan (G),,SBI Magnum Equity Fund - Direct Plan (G),,SBI Pharma Fund - Direct Plan (G),,Sundaram equity plus,,Tata Banking and Financial Services Fund - Direct Plan (G),,Tata Digital India Fund - Direct Plan (G),,Tata India Pharma & HealthCare Fund - Direct Plan (G),,Tata Large Cap Fund - Direct Plan (G),,UTI BANKING ,,uti equity fund ,,UTI Pharma,,Uti top 100,,ABSL banking and finance,,ABSL frontline,,ABSL new millenium,,ABSL top 100 fund,,Hdfc largecap fund,,HDFC top 200,,ICICI banking,,ICICI FMCG ,,ICICI Bluechip,,ICICI Tech,,Reliance pharma fund,,SBI Banking & Financial Services Fund - Regular Plan (G),,SBI Blue Chip Fund (G),,SBI FMCG Fund (G),,SBI IT Fund (G),,SBI Magnum Equity Fund (G),,SBI Pharma Fund (G),,Sundaram equity plus,,Tata Banking and Financial Services Fund - Regular Plan (G),,Tata Digital India Fund - Regular Plan (G),,Tata India Pharma & HealthCare Fund - Regular Plan (G),,Tata Large Cap Fund - Regular Plan (G),,UTI banking sector,,Uti equity fund,,UTI PHARMA,,Uti top 100,
Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),,,,,Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),,,Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,,,,,,,Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),,,,,Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,,,,
Mar-13,,Mar-13,0,Mar-13,0,Mar-13,3.6,Mar-13,0.4,Mar-13,58.1,Mar-13,3.6,Mar-13,1,Mar-13,27.1,Mar-13,0.6,Mar-13,2.9,,,13-Mar,123.1,13-Mar,3.3,13-Mar,0.2,13-Mar,1.5,13-Mar,0.5,Mar-13,0.2,,,,,,,13-Mar,1.2,Mar-13,1.7,Mar-13,0.7,Mar-13,0.1,Mar-13,0.1,,,Mar-13,"3,035.00",Mar-13,48.5,Mar-13,306.4,Mar-13,1331,Mar-13,11958.8,Mar-13,255.1,Mar-13,209,Mar-13,"4,290.50",Mar-13,108.9,Mar-13,652.3,,,13-Mar,733.3,13-Mar,172.8,13-Mar,40.8,13-Mar,"1,073.30",13-Mar,66.5,Mar-13,118.9,,,,,,,13-Mar,591.8,Mar-13,378.3,Mar-13,2312.5,Mar-13,103.5,Mar-13,612.2
Jun-13,,Jun-13,0.1,Jun-13,0.1,Jun-13,4.9,Jun-13,2.2,Jun-13,127.9,Jun-13,7.5,Jun-13,3.5,Jun-13,56.6,Jun-13,0.9,Jun-13,9,,,13-Jun,81.6,13-Jun,11.1,13-Jun,0.4,13-Jun,4.6,13-Jun,2.8,Jun-13,0.4,,,,,,,13-Jun,2.8,Jun-13,3.8,Jun-13,3.7,Jun-13,0.7,Jun-13,0.3,,,Jun-13,"3,153.40",Jun-13,44.5,Jun-13,304,Jun-13,1310.7,Jun-13,11206.8,Jun-13,262.5,Jun-13,223.4,Jun-13,"4,268.20",Jun-13,99.5,Jun-13,676.6,,,13-Jun,717,13-Jun,190.8,13-Jun,37.1,13-Jun,"1,050.90",13-Jun,85.2,Jun-13,106.5,,,,,,,13-Jun,638.3,Jun-13,348.1,Jun-13,2265.6,Jun-13,110.5,Jun-13,587.7
Sep-13,,Sep-13,0.2,Sep-13,0.2,Sep-13,5.5,Sep-13,3.5,Sep-13,184.6,Sep-13,9.1,Sep-13,7.1,Sep-13,85,Sep-13,1.5,Sep-13,15.8,,,13-Sep,8.1,13-Sep,18.6,13-Sep,1.6,13-Sep,7.5,13-Sep,8.9,Sep-13,5.5,,,,,,,13-Sep,4.3,Sep-13,4.5,Sep-13,12.8,Sep-13,1.5,Sep-13,0.5,,,Sep-13,"3,219.70",Sep-13,51.6,Sep-13,298.8,Sep-13,1239.1,Sep-13,10109.8,Sep-13,238.7,Sep-13,234.1,Sep-13,"4,302.30",Sep-13,109.9,Sep-13,684.6,,,13-Sep,682,13-Sep,203.3,13-Sep,41.5,13-Sep,"1,000.70",13-Sep,105.4,Sep-13,94.1,,,,,,,13-Sep,618.5,Sep-13,283.4,Sep-13,2213,Sep-13,119.3,Sep-13,557.4
Dec-13,0.7,Dec-13,0.5,Dec-13,0.5,Dec-13,6.6,Dec-13,18.8,Dec-13,236.7,Dec-13,11.2,Dec-13,8.2,Dec-13,123.7,Dec-13,3.8,Dec-13,20.1,,,13-Dec,14.6,13-Dec,19.7,13-Dec,3.4,13-Dec,13.9,13-Dec,16.3,Dec-13,5.4,,,,,,,13-Dec,7.5,Dec-13,6.8,Dec-13,16.1,Dec-13,2.6,Dec-13,2.4,Dec-13,25.4,Dec-13,"3,515.60",Dec-13,57.9,Dec-13,321.1,Dec-13,1216.9,Dec-13,10309.6,Dec-13,250.7,Dec-13,225.6,Dec-13,"4,570.90",Dec-13,142.8,Dec-13,703.3,,,13-Dec,719.9,13-Dec,202.2,13-Dec,49.2,13-Dec,"1,038.90",13-Dec,130.2,Dec-13,89.8,,,,,,,13-Dec,620.7,Dec-13,301,Dec-13,2369.8,Dec-13,128.7,Dec-13,547.9
Mar-14,4,Mar-14,2.8,Mar-14,2.8,Mar-14,8.1,Mar-14,19.5,Mar-14,281.8,Mar-14,12.8,Mar-14,7.9,Mar-14,210.5,Mar-14,13.4,Mar-14,29.4,,,14-Mar,19.7,14-Mar,18.6,14-Mar,6.5,14-Mar,54.1,14-Mar,22.7,Mar-14,4.9,,,,,,,14-Mar,9.5,Mar-14,8.5,Mar-14,31.9,Mar-14,4.3,Mar-14,2.9,Mar-14,187.6,Mar-14,"3,789.00",Mar-14,65.7,Mar-14,333.6,Mar-14,1127.9,Mar-14,10037.9,Mar-14,235.3,Mar-14,209.5,Mar-14,"4,677.50",Mar-14,200.3,Mar-14,773.8,,,14-Mar,781.3,14-Mar,196.2,14-Mar,68.9,14-Mar,994.6,14-Mar,183,Mar-14,81.2,,,,,,,14-Mar,606.6,Mar-14,300.5,Mar-14,2446.1,Mar-14,143,Mar-14,545.5
Jun-14,6.3,Jun-14,3.2,Jun-14,3.2,Jun-14,16.1,Jun-14,0.8,Jun-14,391.9,Jun-14,20.6,Jun-14,7.8,Jun-14,304.1,Jun-14,14,Jun-14,36.1,,,14-Jun,27,14-Jun,18.9,14-Jun,5.6,14-Jun,61.9,14-Jun,21.3,Jun-14,4.7,,,,,,,14-Jun,12.4,Jun-14,8.6,Jun-14,55.8,Jun-14,4.7,Jun-14,3.6,Jun-14,282.9,Jun-14,"4,803.20",Jun-14,64.7,Jun-14,474.8,Jun-14,39.3,Jun-14,11265.4,Jun-14,318.2,Jun-14,196.7,Jun-14,"5,578.60",Jun-14,204.9,Jun-14,773.2,,,14-Jun,903.5,14-Jun,190.6,14-Jun,63.9,14-Jun,"1,052.30",14-Jun,194.9,Jun-14,75.3,,,,,,,14-Jun,648.7,Jun-14,331.1,Jun-14,2848.1,Jun-14,149.4,Jun-14,593.7
Sep-14,9.1,Sep-14,2.8,Sep-14,2.8,Sep-14,26.4,Sep-14,23.5,Sep-14,523.4,Sep-14,34,Sep-14,8,Sep-14,432.8,Sep-14,14.9,Sep-14,44.8,,,14-Sep,37.8,14-Sep,20.1,14-Sep,5.1,14-Sep,72.6,14-Sep,28.6,Sep-14,4.5,,,,,,,14-Sep,17.5,Sep-14,28.5,Sep-14,103,Sep-14,6,Sep-14,4.6,Sep-14,357.1,Sep-14,"6,054.50",Sep-14,72.6,Sep-14,691.2,Sep-14,1217.7,Sep-14,12276.8,Sep-14,413.6,Sep-14,192,Sep-14,"6,675.90",Sep-14,240.7,Sep-14,899.6,,,14-Sep,"1,032.20",14-Sep,189.9,14-Sep,66.7,14-Sep,"1,120.20",14-Sep,233.7,Sep-14,67.5,,,,,,,14-Sep,703.2,Sep-14,320.3,Sep-14,3275.6,Sep-14,178.9,Sep-14,649.4
Dec-14,11.4,Dec-14,3,Dec-14,3,Dec-14,41.5,Dec-14,25.7,Dec-14,635.8,Dec-14,52.9,Dec-14,8.9,Dec-14,544.6,Dec-14,18.4,Dec-14,61.7,,,14-Dec,89.8,14-Dec,21.9,14-Dec,6.8,14-Dec,83.1,14-Dec,40.6,Dec-14,4.3,,,,,,,14-Dec,34,Dec-14,33.9,Dec-14,158.1,Dec-14,7.3,Dec-14,5.5,Dec-14,419,Dec-14,"6,931.50",Dec-14,75.9,Dec-14,947.7,Dec-14,1244.2,Dec-14,12907.3,Dec-14,510.9,Dec-14,207.6,Dec-14,"7,469.10",Dec-14,268.8,Dec-14,1059.8,,,14-Dec,"1,176.20",14-Dec,202,14-Dec,75.9,14-Dec,"1,167.90",14-Dec,301.4,Dec-14,62.2,,,,,,,14-Dec,738.2,Dec-14,351.5,Dec-14,3622.4,Dec-14,201.1,Dec-14,679.2
Mar-15,16.8,Mar-15,3.6,Mar-15,3.6,Mar-15,65.8,Mar-15,28,Mar-15,771.2,Mar-15,98.4,Mar-15,11,Mar-15,735.5,Mar-15,19.6,Mar-15,72.6,15-Mar,3.3,15-Mar,118.9,15-Mar,24.7,15-Mar,8,15-Mar,92.2,15-Mar,49.9,Mar-15,4.3,,,,,,,15-Mar,83.4,Mar-15,35.6,Mar-15,251.5,Mar-15,9,Mar-15,7.1,Mar-15,515.8,Mar-15,"7,900.40",Mar-15,78.2,Mar-15,"1,233.90",Mar-15,1264.4,Mar-15,13213.4,Mar-15,682.9,Mar-15,223.8,Mar-15,"7,991.80",Mar-15,292.3,Mar-15,1127.4,15-Mar,91.2,15-Mar,"1,404.10",15-Mar,211.5,15-Mar,79.9,15-Mar,"1,215.00",15-Mar,351.7,Mar-15,58.9,,,,,,,15-Mar,767.9,Mar-15,386.9,Mar-15,3919.1,Mar-15,219.6,Mar-15,752.3
